Terms,A0,A1,A2,A3,B0,B1,B2,B3,C0,C1,C2,C3,D0,D1,D2,D3,E0,E1,E2,E3,F0,F1,F2,F3,G0,G1,G2,G3,H0,H1,H2,H3
const,0.7556861872020152,1.6208257923075873,2.0427552356913994,2.346382516214522,-2.270239371816571,-2.2608385977241228,-2.2977544229499762,-2.2781979692836054,24102006.91311984,-59832028.47051861,-126844956.695545,-30928342.522010904,33690887.12022436,-8957753.80934841,8281673.608857515,-2621893.9924791716,507.79282484715367,521.2092637373963,517.5808879169855,518.3557128116803,0.7564153139815737,1.6224313401848425,2.044438365740138,2.3481844457263765,-16257.583055507224,3177.794230607709,-1068.8808287882143,684.3627032455051,-2.5502876091475564,-0.6097437756895729,-0.20068925965103776,-0.1251103037832503
x,1.6582599407890745e-05,-2.750822217790228e-05,4.511516076110846e-05,-4.223927707393123e-05,4.422708468233139e-05,-4.480124258272639e-05,-9.293973901056165e-07,-1.708297660143698e-05,-129222704.59861991,150557548.68931466,245482849.5291786,54027382.04928458,-176420989.82463145,22351993.780467764,-16097109.8041108,4501737.587459045,-0.00277597667590443,0.0013436189814631904,0.0044162462697786235,-0.0021179928750815844,1.6577821418981625e-05,-2.753531364676666e-05,4.5137496823285506e-05,-4.2175966861812694e-05,-290.3365537596956,3606.6262335229753,-1605.3405921244855,1168.9631358900024,-0.8103900596348268,-0.7062332183911991,-0.3044186022490756,-0.214873185333498
y,2.9992928167834055e-06,6.457030173406996e-06,5.541320233555189e-06,6.047525136218151e-06,0.004429571104449654,0.004296768349598072,0.004422983294437524,0.0043746625911154895,79386.62377015274,722.9936862216297,327.0651539318223,29825.97553090444,102099.62533850728,8700.110607548515,29881.935844006224,-7402.36030008489,222.61399312952267,229.41712498745414,224.99514297383863,227.19925072449703,3.930194984235069e-05,0.00010098012199358307,1.7098096751833652e-06,-4.242085055133915e-05,460.9638705406626,-212.92170017799447,106.93144265783569,-107.26894369388954,0.02658997418910899,0.0060593347311996585,-0.004012497016662523,0.0011600157213311692
xx,-1.5186019610962068e-09,-3.230741703740144e-09,-2.937766133044682e-09,-4.4921654531925826e-09,-8.071078740436796e-09,1.0201713791803387e-08,1.869028725557111e-09,6.514942717974484e-09,259854483.28962418,-142096268.61462533,-178136415.65122855,-35398862.517888024,346433378.3131224,-20913731.596645817,11733843.390764963,-2897951.907637964,5.341715976827355e-06,-2.203624364304201e-06,1.7568800484459238e-06,-1.0799033412223559e-06,-1.5129805493502832e-09,-3.2387565252863735e-09,-2.9930201839521933e-09,-4.608433991804019e-09,9054.718030945201,3399.0638488759428,-2079.6744196772365,1739.4835665582457,0.2510037466250981,-0.6978999575000316,-0.40289331391051375,-0.3236229306524234
xy,-4.8077675003498734e-11,-6.27379854070849e-11,1.3190995302808523e-11,9.765045658350518e-11,-6.646895915018383e-08,7.51935020777609e-08,-3.656943864941349e-08,5.281642260863074e-08,-313690.44091494,-828.9165361328261,-247.93200842059233,-38486.48936157678,-398124.6063263843,-14598.100750564743,-42526.5983505171,10496.835964200038,0.002981478900977025,-0.003939827609196171,0.0018137910931388473,-0.002673835170426019,9.694740956793599e-09,-1.52143885267833e-08,-9.177560814125861e-09,2.7589754123608003e-08,-770.1435673741468,29.52449708730142,23.406220155023846,-41.02446749293979,-0.03410046717433878,0.001542515967189935,0.0003897882465069723,0.0014233620673966196
yy,-3.9745231943001385e-09,-8.58076006246893e-09,-1.6743100369554682e-09,-1.8089421377445963e-09,1.2138397529445167e-07,1.1624395903070439e-07,5.429884226924766e-08,6.833840064263393e-08,1915.9046366578204,-1481.1581124372576,860.2966427997362,-593.2686362412834,-44.440494752566735,-20.403708482030172,-40.78908492401333,229.58563533446437,-0.03800135236382666,-0.0320952493129354,0.12783111283680404,0.14863344628753883,-0.00010755801608094756,-0.00022878464398937156,-0.0003653649021755567,-0.00041898494251111577,-0.6453111182117912,0.45971787278090787,-0.29792608672892484,0.33944999697050676,-5.614892668150965e-05,-3.265368533433747e-05,-1.4058314636557831e-06,-2.036323850691845e-05
xxx,-3.192505179443422e-14,2.2018581440694426e-13,-1.6970404031814223e-12,1.9938944961539922e-13,2.796603175964283e-11,-9.354493721558569e-12,1.0946752933208203e-11,-6.193728676737877e-12,-232384132.9195776,59628285.91676748,57439806.708252035,10314229.774300387,-302343261.36793333,8696747.202006277,-3801519.90683981,829115.2427438773,-8.22114295955314e-09,2.670769013871381e-09,-3.339437234096188e-09,1.5363814593451773e-09,-2.7906003704232448e-14,2.1914467741331444e-13,-1.6659376885577947e-12,2.5444089745599637e-13,13997.613489540732,1609.9595507337897,-1752.799992280597,1767.5030298735453,0.855650470394329,-0.4196108982783748,-0.36821252023578394,-0.34346629751722146
xxy,3.05823270872466e-14,-3.498908367339884e-14,-1.2862140071482272e-13,-3.1955230099026596e-13,-3.1240302630621025e-11,-9.554576884657468e-13,-1.939464771087354e-11,7.353336645902642e-13,413239.8913996072,172.21178124419103,5.680660664819566,16559.01800304349,518263.20010273444,8253.014005910905,20296.299935984105,-4816.424672831046,1.6262353455379112e-06,1.6282859085125512e-07,8.915557421320882e-07,3.925909458365429e-07,-6.352730094354325e-12,-1.6098657152563775e-12,-1.0022622319913759e-11,-1.879708718315114e-11,-351.89125293952645,210.88388390819074,-98.1476457771823,94.6805164951435,-0.017459288692809494,-0.0024813577670545445,0.006135449754582733,0.0010800970831385294
xyy,7.740999969445536e-14,6.232196225431637e-14,1.2448950309714962e-13,1.3151591518167743e-13,1.1010299794543222e-11,-1.836906845958647e-12,9.464118855001999e-13,-8.741282655560905e-12,-5122.457818863544,1898.4145834022104,-865.260489053319,540.762635330904,118.48700298399477,25.669131564690105,39.80640086330518,-197.43774288853297,-1.3502833130066746e-05,-7.316900722066049e-06,3.1912168004477658e-06,-8.181270011669108e-05,-1.4387836030253514e-10,8.223452393770106e-09,-1.0062088515995428e-08,-5.51001775319238e-10,1.6877660083957682,-0.5733433438909118,0.28885352819018506,-0.29134338414399696,0.00014612979542615983,4.060501940770924e-05,1.2539515789280016e-06,1.710591871301885e-05
yyy,2.3530736794056103e-12,5.338556161478352e-12,-7.059793004673396e-12,-8.086161749966094e-12,-8.104714605880315e-11,-7.221948580930782e-11,-4.497387970411228e-11,-5.97804351719409e-11,0.8527979446791998,-1.9793525183349863,-1.416306029649552,-2.3540481813748384,-2.025197685571243,-1.447739915175782,-0.6474119366409598,-1.9268579023520027,0.18229875986117675,0.2045810435899339,0.10166545673257131,0.11910346151055323,1.4249195061880414e-07,1.4078270501072022e-06,-1.0873734703043142e-06,-8.321968511666755e-07,3.634781093601916e-07,1.5293220024843225e-06,-1.0050543966304208e-07,-5.023840652665535e-07,5.342337252875645e-10,1.5052788905246803e-10,1.290448408080388e-10,6.34093366232973e-10
